Publication Year,,,Open Access Is Oa,,,Primary Topic Id,,,Authorships Institutions Lineage,,,Type,,
name,count,,name,count,,name,count,,name,count,,name,count,
2023,31,,true,129,,Vehicle Routing Optimization Methods,96,,Shandong University of Finance and Economics,8,,article,186,
2025,30,,false,119,,Facility Location and Emergency Management,19,,"Islamic Azad University, Tehran",6,,preprint,20,
2021,19,,,,,Transportation Planning and Optimization,8,,Centre National de la Recherche Scientifique,6,,dissertation,15,
2022,18,,,,,Transportation and Mobility Innovations,8,,Chongqing Jiaotong University,5,,book-chapter,13,
2024,18,,,,,Advanced Manufacturing and Logistics Optimization,7,,Universidad de Granada,4,,book,7,
2020,17,,,,,Optimization and Mathematical Programming,7,,University of Tehran,4,,review,4,
2019,11,,,,,Scheduling and Optimization Algorithms,6,,Dalian University of Technology,4,,other,2,
2014,10,,,,,Management and Optimization Techniques,5,,Dalian Maritime University,4,,paratext,1,
2015,10,,,,,Multi-Criteria Decision Making,4,,Beihang University,4,,,,
2010,9,,,,,Robotic Path Planning Algorithms,4,,Universitat Oberta de Catalunya,3,,,,
2016,9,,,,,Municipal Solid Waste Management,4,,Prince Sattam Bin Abdulaziz University,3,,,,
2018,9,,,,,Sustainable Supply Chain Management,3,,University of Sfax,3,,,,
2026,9,,,,,Fuzzy Logic and Control Systems,3,,SINTEF,3,,,,
2011,7,,,,,Advanced Multi-Objective Optimization Algorithms,3,,Khon Kaen University,3,,,,
2017,7,,,,,Data Management and Algorithms,3,,Chinese Academy of Sciences,3,,,,
2013,6,,,,,UAV Applications and Optimization,3,,Sichuan University,3,,,,
2009,4,,,,,Maritime Ports and Logistics,3,,Yıldız Technical University,3,,,,
2002,3,,,,,Optimization and Packing Problems,3,,Harbin University of Commerce,3,,,,
2005,3,,,,,Hermeneutics and Narrative Identity,3,,Université du Québec,3,,,,
2012,3,,,,,Risk and Safety Analysis,2,,Southeast University,3,,,,
1999,2,,,,,Evacuation and Crowd Dynamics,2,,Manouba University,3,,,,
2003,2,,,,,Supply Chain Resilience and Risk Management,2,,Tunis University,2,,,,
2007,2,,,,,Mobile Agent-Based Network Management,2,,University of Delhi,2,,,,
1964,1,,,,,Urban and Freight Transport Logistics,2,,Shanghai University,2,,,,
1980,1,,,,,Energy Efficient Wireless Sensor Networks,1,,University of Modena and Reggio Emilia,2,,,,
